銘柄名,証券コード,上場区分,区分,購入時期,買値,売却入時期,売値,値幅,アップ率
(株)長野銀行,8521,東証1部,銀行業,2010年10月29日,142円買い,2010年12月21日,167円売り,25円,17.61%(1.18倍)
常磐興産(株),9675,東証1部,サービス業,2010年11月2日,108円買い,2010年12月8日,127円売り,19円,17.59%(1.18倍)
日本車輌製造(株),7102,東証1部,輸送用機器,2010年11月2日,347円買い,2010年12月17日,408円売り,61円,17.58%(1.18倍)
ウエルシアホールディングス(株),3141,東証1部,小売業,2010年6月9日,1608.18円買い,2010年12月28日,1890.91円売り,282.73円,17.58%(1.18倍)
日本ハム(株),2282,東証1部,食料品,2010年11月2日,928円買い,2010年12月21日,1091円売り,163円,17.56%(1.18倍)
(株)テクノメディカ,6678,東証1部,電気機器,2010年8月25日,850.58円買い,2010年12月14日,999.9円売り,149.32円,17.56%(1.18倍)
(株)シー・ヴイ・エス・ベイエリア,2687,東証1部,小売業,2010年10月29日,48.5円買い,2010年12月15日,57円売り,8.5円,17.53%(1.18倍)
07日経平均株価,9984,東証1部,情報・通信業,2010年8月31日,8824円買い,2010年12月21日,10370円売り,1546円,17.52%(1.18倍)
(株)十八銀行,8396,東証1部,銀行業,2010年10月28日,200円買い,2010年11月19日,235円売り,35円,17.5%(1.18倍)
(株)ＮＴＴドコモ,9437,東証1部,情報・通信業,2010年1月4日,1297円買い,2010年4月21日,1524円売り,227円,17.5%(1.18倍)
六甲バター(株),2266,東証1部,食料品,2010年6月7日,400円買い,2010年12月27日,470円売り,70円,17.5%(1.18倍)
アイカ工業(株),4206,東証1部,化学,2010年2月10日,892円買い,2010年5月13日,1048円売り,156円,17.49%(1.17倍)
(株)山口フィナンシャルグループ,8418,東証1部,銀行業,2010年10月28日,704円買い,2010年12月22日,827円売り,123円,17.47%(1.17倍)
(株)上組,9364,東証1部,倉庫運輸関連,2010年10月15日,603円買い,2010年12月15日,708円売り,105円,17.41%(1.17倍)
(株)リコー,7752,東証1部,電気機器,2010年8月25日,1074円買い,2010年11月18日,1261円売り,187円,17.41%(1.17倍)
リズム時計工業(株),7769,東証1部,精密機器,2010年11月4日,121円買い,2010年12月14日,142円売り,21円,17.36%(1.17倍)
フランスベッドホールディングス(株),7840,東証1部,その他製品,2010年11月4日,98円買い,2010年12月6日,115円売り,17円,17.35%(1.17倍)
旭有機材工業(株),4216,東証1部,化学,2010年11月1日,185円買い,2010年12月24日,217円売り,32円,17.3%(1.17倍)
(株)日立物流,9086,東証1部,陸運業,2010年1月5日,1168円買い,2010年6月3日,1370円売り,202円,17.29%(1.17倍)
丸大食品(株),2288,東証1部,食料品,2010年11月2日,226円買い,2010年12月30日,265円売り,39円,17.26%(1.17倍)
(株)チノー,6850,東証1部,電気機器,2010年11月1日,180円買い,2010年12月15日,211円売り,31円,17.22%(1.17倍)
日本基礎技術(株),1914,東証1部,建設業,2010年11月4日,157円買い,2010年12月28日,184円売り,27円,17.2%(1.17倍)
鳥越製粉(株),2009,東証1部,食料品,2010年5月27日,698円買い,2010年12月16日,818円売り,120円,17.19%(1.17倍)
(株)帝国電機製作所,6333,東証1部,機械,2010年5月26日,1522円買い,2010年7月27日,1783円売り,261円,17.15%(1.17倍)
アキレス(株),5142,東証1部,化学,2010年11月1日,105円買い,2010年12月8日,123円売り,18円,17.14%(1.17倍)
(株)京三製作所,6742,東証1部,電気機器,2010年11月4日,327円買い,2010年12月17日,383円売り,56円,17.13%(1.17倍)
(株)七十七銀行,8341,東証1部,銀行業,2010年11月2日,374円買い,2010年12月29日,438円売り,64円,17.11%(1.17倍)
(株)マースエンジニアリング,6419,東証1部,機械,2010年11月8日,1243円買い,2010年12月29日,1455円売り,212円,17.06%(1.17倍)
伊藤ハム(株),2284,東証1部,食料品,2010年11月2日,252円買い,2010年12月29日,295円売り,43円,17.06%(1.17倍)
(株)サンドラッグ,9989,東証1部,小売業,2010年2月1日,2034円買い,2010年12月29日,2381円売り,347円,17.06%(1.17倍)
東洋水産(株),2875,東証1部,食料品,2010年8月6日,1627円買い,2010年9月15日,1904円売り,277円,17.03%(1.17倍)
ミヨシ油脂(株),4404,東証1部,食料品,2010年11月1日,118円買い,2010年12月9日,138円売り,20円,16.95%(1.17倍)
(株)東邦システムサイエンス,4333,東証1部,情報・通信業,2010年2月18日,360円買い,2010年6月3日,421円売り,61円,16.94%(1.17倍)
(株)鹿児島銀行,8390,東証1部,銀行業,2010年10月28日,467円買い,2010年12月15日,546円売り,79円,16.92%(1.17倍)
日本駐車場開発(株),2353,東証1部,不動産業,2010年11月2日,33.1円買い,2010年12月17日,38.7円売り,5.6円,16.92%(1.17倍)
(株)サンヨーハウジング名古屋,8904,東証1部,不動産業,2010年11月2日,715円買い,2010年12月29日,836円売り,121円,16.92%(1.17倍)
(株)プロネクサス,7893,東証1部,その他製品,2010年11月18日,385円買い,2010年12月29日,450円売り,65円,16.88%(1.17倍)
(株)テレビ東京ホールディングス,9413,東証1部,情報・通信業,2010年11月2日,1105円買い,2010年12月15日,1291円売り,186円,16.83%(1.17倍)
東レ(株),3402,東証1部,繊維製品,2010年7月1日,423円買い,2010年12月13日,494円売り,71円,16.78%(1.17倍)
(株)ファルコＳＤホールディングス,4671,東証1部,サービス業,2010年11月4日,591円買い,2010年12月1日,690円売り,99円,16.75%(1.17倍)
米久(株),2290,東証1部,食料品,2010年11月2日,585円買い,2010年12月21日,683円売り,98円,16.75%(1.17倍)
アサヒグループホールディングス(株),2502,東証1部,食料品,2010年7月16日,1441円買い,2010年10月6日,1682円売り,241円,16.72%(1.17倍)
日東製網(株),3524,東証1部,繊維製品,2010年10月29日,84円買い,2010年12月3日,98円売り,14円,16.67%(1.17倍)
(株)ミツウロコグループホールディングス,8131,東証1部,卸売業,2010年10月29日,439円買い,2010年12月21日,512円売り,73円,16.63%(1.17倍)
(株)リロ・ホールディング,8876,東証1部,サービス業,2010年10月8日,1183円買い,2010年11月17日,1379円売り,196円,16.57%(1.17倍)
(株)ほくほくフィナンシャルグループ,8377,東証1部,銀行業,2010年8月25日,145円買い,2010年12月17日,169円売り,24円,16.55%(1.17倍)
(株)ＴＫＣ,9746,東証1部,情報・通信業,2010年7月29日,1477円買い,2010年12月30日,1720円売り,243円,16.45%(1.16倍)
(株)東芝,6502,東証1部,電気機器,2010年9月2日,384円買い,2010年12月2日,447円売り,63円,16.41%(1.16倍)
特種東海製紙(株),3708,東証1部,パルプ・紙,2010年11月30日,165円買い,2010年12月17日,192円売り,27円,16.36%(1.16倍)
塩野義製薬(株),4507,東証1部,医薬品,2010年11月1日,1391円買い,2010年12月29日,1618円売り,227円,16.32%(1.16倍)
(株)ニトリホールディングス,9843,東証1部,小売業,2010年10月19日,3220円買い,2010年12月14日,3745円売り,525円,16.3%(1.16倍)
丸紅建材リース(株),9763,東証1部,卸売業,2010年11月1日,86円買い,2010年12月17日,100円売り,14円,16.28%(1.16倍)
小野薬品工業(株),4528,東証1部,医薬品,2010年10月27日,3295円買い,2010年12月21日,3830円売り,535円,16.24%(1.16倍)
(株)トーセ,4728,東証1部,情報・通信業,2010年11月4日,463円買い,2010年12月29日,538円売り,75円,16.2%(1.16倍)
ライト工業(株),1926,東証1部,建設業,2010年11月5日,173円買い,2010年12月30日,201円売り,28円,16.18%(1.16倍)
(株)ベストブライダル,2418,東証1部,サービス業,2010年11月10日,365円買い,2010年12月1日,424円売り,59円,16.16%(1.16倍)
パナホーム(株),1924,東証1部,建設業,2010年10月15日,458円買い,2010年12月16日,532円売り,74円,16.16%(1.16倍)
前澤給装工業(株),6485,東証1部,機械,2010年11月2日,885円買い,2010年12月14日,1028円売り,143円,16.16%(1.16倍)
(株)東京エネシス,1945,東証1部,建設業,2010年11月2日,459円買い,2010年12月13日,533円売り,74円,16.12%(1.16倍)
(株)十六銀行,8356,東証1部,銀行業,2010年10月28日,230円買い,2010年12月17日,267円売り,37円,16.09%(1.16倍)
イオン北海道(株),7512,東証1部,小売業,2010年2月24日,261円買い,2010年12月29日,303円売り,42円,16.09%(1.16倍)
(株)西松屋チェーン,7545,東証1部,小売業,2010年8月26日,721円買い,2010年11月22日,837円売り,116円,16.09%(1.16倍)
トランコム(株),9058,東証1部,倉庫運輸関連,2010年10月22日,1316円買い,2010年12月28日,1527円売り,211円,16.03%(1.16倍)
大日本印刷(株),7912,東証1部,その他製品,2010年8月25日,971円買い,2010年12月29日,1125円売り,154円,15.86%(1.16倍)
ＮＤＳ(株),1956,東証1部,建設業,2010年10月29日,227円買い,2010年12月22日,263円売り,36円,15.86%(1.16倍)
(株)スクロール,8005,東証1部,小売業,2010年10月5日,303円買い,2010年12月21日,351円売り,48円,15.84%(1.16倍)
(株)廣済堂,7868,東証1部,その他製品,2010年10月12日,120円買い,2010年10月28日,139円売り,19円,15.83%(1.16倍)
アツギ(株),3529,東証1部,繊維製品,2010年10月21日,95円買い,2010年12月13日,110円売り,15円,15.79%(1.16倍)
日本カーボン(株),5302,東証1部,ガラス土石製品,2010年7月22日,235円買い,2010年12月27日,272円売り,37円,15.74%(1.16倍)
ハウス食品グループ本社(株),2810,東証1部,食料品,2010年10月28日,1188円買い,2010年11月19日,1375円売り,187円,15.74%(1.16倍)
四国化成工業(株),4099,東証1部,化学,2010年11月1日,426円買い,2010年12月20日,493円売り,67円,15.73%(1.16倍)
協同飼料(株),2052,東証1部,食料品,2010年11月1日,89円買い,2010年12月16日,103円売り,14円,15.73%(1.16倍)
(株)ＮＩＰＰＯ,1881,東証1部,建設業,2010年11月2日,497円買い,2010年12月14日,575円売り,78円,15.69%(1.16倍)
ＨＯＹＡ(株),7741,東証1部,精密機器,2010年8月25日,1821円買い,2010年9月16日,2106円売り,285円,15.65%(1.16倍)
東亜道路工業(株),1882,東証1部,建設業,2010年9月1日,115円買い,2010年12月10日,133円売り,18円,15.65%(1.16倍)
森永乳業(株),2264,東証1部,食料品,2010年7月16日,320円買い,2010年9月6日,370円売り,50円,15.63%(1.16倍)
(株)京葉銀行,8544,東証1部,銀行業,2010年10月29日,365円買い,2010年12月17日,422円売り,57円,15.62%(1.16倍)
ワタミ(株),7522,東証1部,小売業,2010年11月2日,1430円買い,2010年12月29日,1653円売り,223円,15.59%(1.16倍)
Ｊ−ＰＯＷＥＲ,9513,東証1部,電気・ガス業,2010年10月25日,2305円買い,2010年12月14日,2664円売り,359円,15.57%(1.16倍)
パーク２４(株),4666,東証1部,不動産業,2010年11月9日,765円買い,2010年12月15日,884円売り,119円,15.56%(1.16倍)
日本梱包運輸倉庫(株),9072,東証1部,陸運業,2010年10月28日,855円買い,2010年12月30日,988円売り,133円,15.56%(1.16倍)
東海旅客鉄道(株),9022,東証1部,陸運業,2010年10月27日,5990円買い,2010年12月21日,6920円売り,930円,15.53%(1.16倍)
東洋紡(株),3101,東証1部,繊維製品,2010年8月31日,129円買い,2010年12月13日,149円売り,20円,15.5%(1.16倍)
長瀬産業(株),8012,東証1部,卸売業,2010年8月31日,910円買い,2010年12月30日,1051円売り,141円,15.49%(1.15倍)
北陸電力(株),9505,東証1部,電気・ガス業,2010年10月15日,1823円買い,2010年12月8日,2105円売り,282円,15.47%(1.15倍)
(株)ＪＡＬＵＸ,2729,東証1部,卸売業,2010年7月22日,595円買い,2010年12月29日,687円売り,92円,15.46%(1.15倍)
(株)八十二銀行,8359,東証1部,銀行業,2010年10月26日,401円買い,2010年12月14日,463円売り,62円,15.46%(1.15倍)
(株)ニッカトー,5367,東証1部,ガラス土石製品,2010年10月21日,350円買い,2010年12月13日,404円売り,54円,15.43%(1.15倍)
宝ホールディングス(株),2531,東証1部,食料品,2010年8月31日,436円買い,2010年12月2日,503円売り,67円,15.37%(1.15倍)
(株)ヤマウラ,1780,東証1部,建設業,2010年11月1日,176円買い,2010年12月29日,203円売り,27円,15.34%(1.15倍)
(株)ライフコーポレーション,8194,東証1部,小売業,2010年11月1日,1147円買い,2010年12月15日,1323円売り,176円,15.34%(1.15倍)
ＯＵＧホールディングス(株),8041,東証1部,卸売業,2010年2月2日,137円買い,2010年4月15日,158円売り,21円,15.33%(1.15倍)
アリアケジャパン(株),2815,東証1部,食料品,2010年11月1日,1203円買い,2010年12月29日,1387円売り,184円,15.3%(1.15倍)
京阪神ビルディング(株),8818,東証1部,不動産業,2010年10月29日,347円買い,2010年12月29日,400円売り,53円,15.27%(1.15倍)
名糖運輸(株),9047,東証1部,陸運業,2010年10月29日,583円買い,2010年12月17日,672円売り,89円,15.27%(1.15倍)
大王製紙(株),3880,東証1部,パルプ・紙,2010年11月4日,511円買い,2010年12月22日,589円売り,78円,15.26%(1.15倍)
(株)アコーディア・ゴルフ,2131,東証1部,サービス業,2010年10月12日,690円買い,2010年12月29日,795円売り,105円,15.22%(1.15倍)
高千穂交易(株),2676,東証1部,卸売業,2010年10月15日,802円買い,2010年12月30日,924円売り,122円,15.21%(1.15倍)
(株)ＡＤＥＫＡ,4401,東証1部,化学,2010年1月5日,815円買い,2010年3月30日,939円売り,124円,15.21%(1.15倍)
(株)キユーソー流通システム,9369,東証1部,倉庫運輸関連,2010年5月28日,803円買い,2010年11月25日,925円売り,122円,15.19%(1.15倍)
積水ハウス(株),1928,東証1部,建設業,2010年9月21日,721円買い,2010年12月29日,830円売り,109円,15.12%(1.15倍)
(株)ハードオフコーポレーション,2674,東証1部,小売業,2010年9月2日,364円買い,2010年12月29日,419円売り,55円,15.11%(1.15倍)
(株)東京デリカ,9990,東証1部,小売業,2010年1月4日,299円買い,2010年3月25日,344円売り,45円,15.05%(1.15倍)
(株)ＮＳＤ,9759,東証1部,情報・通信業,2010年11月4日,837円買い,2010年12月14日,963円売り,126円,15.05%(1.15倍)
(株)ＣＩＪ,4826,東証1部,情報・通信業,2010年10月29日,246円買い,2010年12月22日,283円売り,37円,15.04%(1.15倍)
(株)伊予銀行,8385,東証1部,銀行業,2010年10月27日,585円買い,2010年12月17日,673円売り,88円,15.04%(1.15倍)
ヒロセ電機(株),6806,東証1部,電気機器,2010年11月1日,8060円買い,2010年12月21日,9270円売り,1210円,15.01%(1.15倍)
(株)ヤマザワ,9993,東証1部,小売業,2010年10月27日,1054円買い,2010年12月22日,1212円売り,158円,14.99%(1.15倍)
(株)佐賀銀行,8395,東証1部,銀行業,2010年10月28日,207円買い,2010年12月17日,238円売り,31円,14.98%(1.15倍)
わらべや日洋(株),2918,東証1部,食料品,2010年11月2日,923円買い,2010年12月29日,1061円売り,138円,14.95%(1.15倍)
(株)第三銀行,8529,東証1部,銀行業,2010年11月2日,194円買い,2010年12月22日,223円売り,29円,14.95%(1.15倍)
澁澤倉庫(株),9304,東証1部,倉庫運輸関連,2010年10月28日,261円買い,2010年12月16日,300円売り,39円,14.94%(1.15倍)
ジェコス(株),9991,東証1部,卸売業,2010年11月2日,275円買い,2010年12月7日,316円売り,41円,14.91%(1.15倍)
(株)東京ドーム,9681,東証1部,サービス業,2010年11月2日,195円買い,2010年12月2日,224円売り,29円,14.87%(1.15倍)
常和ホールディングス(株),3258,東証1部,不動産業,2010年11月1日,1140円買い,2010年12月29日,1309円売り,169円,14.82%(1.15倍)
テルモ(株),4543,東証1部,精密機器,2010年10月29日,2042.5円買い,2010年12月21日,2345円売り,302.5円,14.81%(1.15倍)
(株)奥村組,1833,東証1部,建設業,2010年10月20日,278円買い,2010年12月16日,319円売り,41円,14.75%(1.15倍)
(株)ワッツ,2735,東証1部,小売業,2010年11月24日,235円買い,2010年12月8日,269.5円売り,34.5円,14.68%(1.15倍)
レオン自動機(株),6272,東証1部,機械,2010年11月2日,178円買い,2010年12月17日,204円売り,26円,14.61%(1.15倍)
巴工業(株),6309,東証1部,機械,2010年8月12日,1054円買い,2010年10月6日,1208円売り,154円,14.61%(1.15倍)
沖縄電力(株),9511,東証1部,電気・ガス業,2010年10月25日,3560円買い,2010年12月15日,4080円売り,520円,14.61%(1.15倍)
(株)極洋,1301,東証1部,水産・農林業,2010年11月2日,158円買い,2010年12月21日,181円売り,23円,14.56%(1.15倍)
片倉工業(株),3001,東証1部,繊維製品,2010年11月2日,729円買い,2010年12月30日,835円売り,106円,14.54%(1.15倍)
ローム(株),6963,東証1部,電気機器,2010年11月9日,4785円買い,2010年12月15日,5480円売り,695円,14.52%(1.15倍)
昭和産業(株),2004,東証1部,食料品,2010年11月10日,214円買い,2010年12月22日,245円売り,31円,14.49%(1.14倍)
ロイヤルホールディングス(株),8179,東証1部,小売業,2010年11月1日,803円買い,2010年12月13日,919円売り,116円,14.45%(1.14倍)
(株)ロック・フィールド,2910,東証1部,食料品,2010年6月8日,1184円買い,2010年9月17日,1355円売り,171円,14.44%(1.14倍)
日本瓦斯(株),8174,東証1部,小売業,2010年11月30日,1075円買い,2010年12月17日,1230円売り,155円,14.42%(1.14倍)
山下医科器械(株),3022,東証1部,卸売業,2010年10月26日,1026円買い,2010年12月24日,1174円売り,148円,14.42%(1.14倍)
ダイニチ工業(株),5951,東証1部,金属製品,2010年8月31日,500円買い,2010年12月30日,572円売り,72円,14.4%(1.14倍)
(株)千趣会,8165,東証1部,小売業,2010年10月26日,445円買い,2010年12月15日,509円売り,64円,14.38%(1.14倍)
ダイビル(株),8806,東証1部,不動産業,2010年10月5日,606円買い,2010年12月9日,693円売り,87円,14.36%(1.14倍)
(株)群馬銀行,8334,東証1部,銀行業,2010年11月1日,397円買い,2010年12月17日,454円売り,57円,14.36%(1.14倍)
(株)キング,8118,東証1部,繊維製品,2010年10月28日,195円買い,2010年12月14日,223円売り,28円,14.36%(1.14倍)
三井倉庫(株),9302,東証1部,倉庫運輸関連,2010年7月21日,300円買い,2010年12月15日,343円売り,43円,14.33%(1.14倍)
日本フエルト(株),3512,東証1部,繊維製品,2010年11月1日,370円買い,2010年12月16日,423円売り,53円,14.32%(1.14倍)
エコートレーディング(株),7427,東証1部,卸売業,2010年10月21日,736円買い,2010年12月16日,841円売り,105円,14.27%(1.14倍)
(株)王将フードサービス,9936,東証1部,小売業,2010年10月29日,1715円買い,2010年12月15日,1959円売り,244円,14.23%(1.14倍)
マックス(株),6454,東証1部,機械,2010年10月21日,851円買い,2010年12月17日,972円売り,121円,14.22%(1.14倍)
(株)タカラトミー,7867,東証1部,その他製品,2010年8月25日,605円買い,2010年12月21日,691円売り,86円,14.21%(1.14倍)
エステー(株),4951,東証1部,化学,2010年11月2日,874円買い,2010年12月8日,998円売り,124円,14.19%(1.14倍)
エア・ウォーター(株),4088,東証1部,化学,2010年8月4日,919円買い,2010年12月29日,1049円売り,130円,14.15%(1.14倍)
荒川化学工業(株),4968,東証1部,化学,2010年11月2日,778円買い,2010年12月8日,888円売り,110円,14.14%(1.14倍)
(株)きんでん,1944,東証1部,建設業,2010年10月29日,688円買い,2010年12月14日,785円売り,97円,14.1%(1.14倍)
タキヒヨー(株),9982,東証1部,卸売業,2010年8月31日,362円買い,2010年12月22日,413円売り,51円,14.09%(1.14倍)
(株)トリドール,3397,東証1部,小売業,2010年11月5日,507.5円買い,2010年12月15日,579円売り,71.5円,14.09%(1.14倍)
キユーピー(株),2809,東証1部,食料品,2010年5月27日,967円買い,2010年9月13日,1103円売り,136円,14.06%(1.14倍)
ニチレキ(株),5011,東証1部,石油石炭製品,2010年10月29日,285円買い,2010年12月10日,325円売り,40円,14.04%(1.14倍)
コカ・コーライーストジャパン(株),2580,東証1部,食料品,2010年10月28日,1006円買い,2010年12月15日,1147円売り,141円,14.02%(1.14倍)
(株)ＪＣＵ,4975,東証1部,化学,2010年10月22日,1492円買い,2010年12月30日,1701円売り,209円,14.01%(1.14倍)
(株)愛媛銀行,8541,東証1部,銀行業,2010年10月20日,200円買い,2010年12月17日,228円売り,28円,14%(1.14倍)
大阪ガス(株),9532,東証1部,電気・ガス業,2010年10月13日,279円買い,2010年12月29日,318円売り,39円,13.98%(1.14倍)
日本バイリーン(株),3514,東証1部,繊維製品,2010年7月1日,374円買い,2010年12月21日,426円売り,52円,13.9%(1.14倍)
シャープ(株),6753,東証1部,電気機器,2010年11月1日,752円買い,2010年12月22日,856円売り,104円,13.83%(1.14倍)
モロゾフ(株),2217,東証1部,食料品,2010年11月1日,246円買い,2010年12月13日,280円売り,34円,13.82%(1.14倍)
共和レザー(株),3553,東証1部,化学,2010年11月2日,276円買い,2010年12月21日,314円売り,38円,13.77%(1.14倍)
東陽倉庫(株),9306,東証1部,倉庫運輸関連,2010年11月2日,167円買い,2010年12月16日,190円売り,23円,13.77%(1.14倍)
(株)コロナ,5909,東証1部,金属製品,2010年10月25日,697円買い,2010年12月24日,793円売り,96円,13.77%(1.14倍)
ＮＳユナイテッド海運(株),9110,東証1部,海運業,2010年11月24日,189円買い,2010年12月14日,215円売り,26円,13.76%(1.14倍)
(株)清水銀行,8364,東証1部,銀行業,2010年10月28日,3245円買い,2010年12月15日,3690円売り,445円,13.71%(1.14倍)
丸全昭和運輸(株),9068,東証1部,陸運業,2010年11月2日,241円買い,2010年12月21日,274円売り,33円,13.69%(1.14倍)
味の素(株),2802,東証1部,食料品,2010年5月26日,760円買い,2010年8月9日,864円売り,104円,13.68%(1.14倍)
ＴＯＴＯ(株),5332,東証1部,ガラス土石製品,2010年11月1日,527円買い,2010年12月21日,599円売り,72円,13.66%(1.14倍)
(株)静岡銀行,8355,東証1部,銀行業,2010年8月24日,674円買い,2010年12月22日,766円売り,92円,13.65%(1.14倍)
日本山村硝子(株),5210,東証1部,ガラス土石製品,2010年11月2日,198円買い,2010年12月29日,225円売り,27円,13.64%(1.14倍)
(株)トマト銀行,8542,東証1部,銀行業,2010年10月29日,140円買い,2010年12月22日,159円売り,19円,13.57%(1.14倍)
中山福(株),7442,東証1部,卸売業,2010年11月2日,531円買い,2010年12月20日,603円売り,72円,13.56%(1.14倍)
(株)名古屋銀行,8522,東証1部,銀行業,2010年10月28日,236円買い,2010年12月15日,268円売り,32円,13.56%(1.14倍)
不二製油(株),2607,東証1部,食料品,2010年11月9日,1050円買い,2010年12月17日,1192円売り,142円,13.52%(1.14倍)
(株)山形銀行,8344,東証1部,銀行業,2010年10月29日,349円買い,2010年11月22日,396円売り,47円,13.47%(1.13倍)
日本オラクル(株),4716,東証1部,情報・通信業,2010年10月12日,3570円買い,2010年12月24日,4050円売り,480円,13.45%(1.13倍)
持田製薬(株),4534,東証1部,医薬品,2010年5月27日,4025円買い,2010年10月19日,4565円売り,540円,13.42%(1.13倍)
(株)船井総合研究所,9757,東証1部,サービス業,2010年9月1日,486円買い,2010年12月27日,551円売り,65円,13.37%(1.13倍)
(株)松屋フーズ,9887,東証1部,小売業,2010年10月21日,1221円買い,2010年12月24日,1384円売り,163円,13.35%(1.13倍)
生化学工業(株),4548,東証1部,医薬品,2010年11月2日,833円買い,2010年12月15日,944円売り,111円,13.33%(1.13倍)
矢作建設工業(株),1870,東証1部,建設業,2010年11月2日,450円買い,2010年12月20日,510円売り,60円,13.33%(1.13倍)
(株)千葉銀行,8331,東証1部,銀行業,2010年8月31日,473円買い,2010年12月17日,536円売り,63円,13.32%(1.13倍)
スバル興業(株),9632,東証1部,サービス業,2010年11月4日,218円買い,2010年12月29日,247円売り,29円,13.3%(1.13倍)
アズビル(株),6845,東証1部,電気機器,2010年11月4日,1748円買い,2010年12月8日,1980円売り,232円,13.27%(1.13倍)
スギホールディングス(株),7649,東証1部,小売業,2010年11月1日,1762円買い,2010年12月14日,1995円売り,233円,13.22%(1.13倍)
(株)スズケン,9987,東証1部,卸売業,2010年11月8日,2308円買い,2010年12月14日,2613円売り,305円,13.21%(1.13倍)
花王(株),4452,東証1部,化学,2010年5月28日,1946円買い,2010年12月29日,2203円売り,257円,13.21%(1.13倍)
レンゴー(株),3941,東証1部,パルプ・紙,2010年11月4日,493円買い,2010年12月29日,558円売り,65円,13.18%(1.13倍)
(株)ミライト・ホールディングス,1417,東証1部,建設業,2010年10月19日,526円買い,2010年11月10日,595円売り,69円,13.12%(1.13倍)
(株)ミロク情報サービス,9928,東証1部,情報・通信業,2010年10月27日,206円買い,2010年12月30日,233円売り,27円,13.11%(1.13倍)
05TOPIX,9984,東証1部,情報・通信業,2010年11月2日,803円買い,2010年12月29日,908円売り,105円,13.08%(1.13倍)
(株)武蔵野銀行,8336,東証1部,銀行業,2010年10月28日,2255円買い,2010年12月21日,2549円売り,294円,13.04%(1.13倍)
(株)秋田銀行,8343,東証1部,銀行業,2010年10月28日,223円買い,2010年12月17日,252円売り,29円,13%(1.13倍)
Ｓ　ＦＯＯＤＳ(株),2292,東証1部,食料品,2010年11月2日,619円買い,2010年12月20日,699円売り,80円,12.92%(1.13倍)
小松精練(株),3580,東証1部,繊維製品,2010年11月2日,302円買い,2010年12月17日,341円売り,39円,12.91%(1.13倍)
アイコム(株),6820,東証1部,電気機器,2010年6月30日,2027円買い,2010年10月7日,2288円売り,261円,12.88%(1.13倍)
(株)カスミ,8196,東証1部,小売業,2010年11月2日,404円買い,2010年12月15日,456円売り,52円,12.87%(1.13倍)
(株)キングジム,7962,東証1部,その他製品,2010年11月2日,521円買い,2010年11月12日,588円売り,67円,12.86%(1.13倍)
古河電池(株),6937,東証1部,電気機器,2010年11月2日,499円買い,2010年12月16日,563円売り,64円,12.83%(1.13倍)
大成ラミック(株),4994,東証1部,化学,2010年5月27日,2018円買い,2010年12月15日,2276円売り,258円,12.78%(1.13倍)
日本管財(株),9728,東証1部,サービス業,2010年10月12日,1230円買い,2010年12月14日,1387円売り,157円,12.76%(1.13倍)
小松ウオール工業(株),7949,東証1部,その他製品,2010年10月29日,696円買い,2010年12月21日,784円売り,88円,12.64%(1.13倍)
大陽日酸(株),4091,東証1部,化学,2010年10月28日,647円買い,2010年12月29日,728円売り,81円,12.52%(1.13倍)
福山通運(株),9075,東証1部,陸運業,2010年11月2日,392円買い,2010年12月15日,441円売り,49円,12.5%(1.13倍)
(株)アグレックス,4799,東証1部,情報・通信業,2010年11月1日,737円買い,2010年12月22日,829円売り,92円,12.48%(1.12倍)
丸一鋼管(株),5463,東証1部,鉄鋼,2010年10月28日,1587円買い,2010年12月15日,1784円売り,197円,12.41%(1.12倍)
岩谷産業(株),8088,東証1部,卸売業,2010年11月2日,226円買い,2010年12月9日,254円売り,28円,12.39%(1.12倍)
小林製薬(株),4967,東証1部,化学,2010年2月9日,3515円買い,2010年4月12日,3950円売り,435円,12.38%(1.12倍)
東日本旅客鉄道(株),9020,東証1部,陸運業,2010年11月17日,4825円買い,2010年12月16日,5420円売り,595円,12.33%(1.12倍)
小田急電鉄(株),9007,東証1部,陸運業,2010年2月10日,725円買い,2010年8月9日,814円売り,89円,12.28%(1.12倍)
(株)リンガーハット,8200,東証1部,小売業,2010年11月2日,914円買い,2010年12月29日,1026円売り,112円,12.25%(1.12倍)
静岡ガス(株),9543,東証1部,電気・ガス業,2010年11月30日,450円買い,2010年12月15日,505円売り,55円,12.22%(1.12倍)
スターゼン(株),8043,東証1部,卸売業,2010年10月21日,213円買い,2010年12月13日,239円売り,26円,12.21%(1.12倍)
三菱重工業(株),7011,東証1部,機械,2010年11月2日,279円買い,2010年12月15日,313円売り,34円,12.19%(1.12倍)
北海道ガス(株),9534,東証1部,電気・ガス業,2010年2月15日,238円買い,2010年8月16日,267円売り,29円,12.18%(1.12倍)
アース製薬(株),4985,東証1部,化学,2010年2月9日,2588円買い,2010年12月15日,2899円売り,311円,12.02%(1.12倍)
ＣＳＰ,9740,東証1部,サービス業,2010年9月22日,760円買い,2010年12月29日,851円売り,91円,11.97%(1.12倍)
(株)ケーヨー,8168,東証1部,小売業,2010年10月28日,385円買い,2010年12月15日,431円売り,46円,11.95%(1.12倍)
(株)ローソン,2651,東証1部,小売業,2010年11月1日,3605円買い,2010年12月29日,4035円売り,430円,11.93%(1.12倍)
(株)山陰合同銀行,8381,東証1部,銀行業,2010年10月28日,530円買い,2010年11月18日,593円売り,63円,11.89%(1.12倍)
