発表日,ﾀｰｹﾞｯﾄ会社名,買収側の社名,発表時ﾃﾞｨｰﾙ総額(百万),買収側企業 人件費,ﾀｰｹﾞｯﾄ企業 人件費,買収側企業 12ｶ月売上原価,ﾀｰｹﾞｯﾄ企業 12ｶ月売上原価,買収側企業 原材料,ﾀｰｹﾞｯﾄ企業 原材料,買収側企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 販管費･その他営業費用,買収側企業 SIC名,ﾀｰｹﾞｯﾄ企業 SIC名
1998-10-30,ONCOLOGY DIAGNOSTICS BUSINESS,H.U.グループホールディングス,37.5,156.184,,1477.75,,60.1573,,35.87,,,,
1998-10-30,厚木ナイロン商事,アツギ,72.16,20.9698,,147.102,,3.90561,0.675219,9.9,0.7,62.3843,,
1998-11-04,ATM Operations,沖電気工業,60.14,310.614,,2623.01,,162.164,,21.08,,,,
1998-11-04,Stora Special Paper GmbH,三菱製紙,13.03,61.1266,,1339.71,,92.4871,,7.06,,,,
1998-11-04,Stora Carbonless Paper GmbH,三菱製紙,59.45,61.1266,,1339.71,,92.4871,,7.06,,,,
1998-11-09,コマツゼノア,小松製作所,27.04,,,17135.6,227.592,571.684,,42.59,0.71,55.7308,CONSTR MACHINE,
1998-11-18,日本タイムシェア,ソラン,14.57,36.4732,,416.149,117.415,0.081753,0.0279851,2.03,0.51,9.58203,,
1998-11-19,TSUMURA INTERNATIONAL INC,Belae Brands Inc,20.0,,,,,,,,,,,
1998-11-20,ナビックス　ライン,商船三井,186.17,48.9296,,9277.14,,253.124,,27.82,9.05,86.0931,,
1998-11-23,Sanwa Business Credit,ﾌﾘｰﾄﾎﾞｽﾄﾝ･ﾌｧｲﾅﾝｼｬﾙ,715.0,,,,,,,,,,NATL COML BANK,
1998-11-30,オリックス･インテリア,オリックス,5.87,2481.15,,,,,,44.05,,,MISC BUS CRED,CARPETS/RUGS
1998-11-30,Midori Bank,みなと銀行,481.75,,,,,,,,,,,
1998-12-01,5.2% BALLARD GENERATION SYSTE,荏原製作所,23.1,490.889,,3675.69,,335.15,,48.31,,,,
1998-12-02,5 INFORMATION TECHNOLOGY UNIT,Zomax Inc/OH,60.0,,,136.12,,8.197,,,,,MANUFG IND NEC,
1998-12-09,TOKYO HEADQUARTERS,近鉄グループホールディングス,26.31,670.261,,5848.74,,47.2019,,19.8,,,,
1998-12-09,Inn Partnership Ltd,ﾃﾗﾌｧｰﾏ･ｷｬﾋﾟﾀﾙﾊﾟｰﾄﾅｰｽﾞ,613.83,12.2898,,,,,,,,,,
1998-12-16,44% STAKE KWONG ON BANK,DBSｸﾞﾙｰﾌﾟ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,165.0,2575.22,,,,,,4.0,,,,
1998-12-16,JLA CREDIT CORPORATION,ﾘｿｰｽ･ｱﾒﾘｶ,357.0,,,62.472,,,,,,,MISC INVSTRS,
1998-12-23,1200 PUBS IN THE UK,野村ホールディングス,620.64,4791.14,,,,,,33.45,,,SEC BROKER/DLR,
1998-12-25,Shincho Plastic Lighting Co Ltd,朝日松下電工,8.16,,,235.749,,,,0.27,,,,
1998-12-28,Ayase LSI Research Center,キヤノン,75.9,1.3774,,17677.1,,480.136,,17.08,,,PHOTOG EQUIP,
1999-01-08,80% KANKAKU COMPUTER SYSTEMS,富士ソフト,281.76,227.196,,1840.53,,0.377541,,28.94,,,,
1999-01-12,DISTRIBUTION CENTER IN TOKYO,山九,2310.0,117.801,,4482.83,,,,30.6,,,,
1999-01-14,ＫＤＫ,日本ケミコン,23.92,50.1747,,920.065,,43.5584,,25.92,2.0,16.8772,,
