取引ﾀｲﾌﾟ	発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)
M&A	05/20/2019	ユメックスグループ	ツナググループ・ホールディングス	アスパラントグループ	11.53	Pending					0.522055	-3.23316	47.8615	103.498					0962559D JP		Investment Companies	6551 JP	615	Commercial Services	1718460D JP		Advertising									
M&A	02/15/2006	日東工営	グレース	三井物産	11.53	Completed	4817.44	2.49709	9.73044	85908.6	6.09246	1.61915	9.17475	202.41					8031 JP	44509	Distribution/Wholesale	4790 JP	233	Home Builders	NTKOEZ JP		Engineering&Construction				372.474	412.968				
M&A	11/08/2013	クレジデンス札幌南４条	大和証券リビング投資法人		11.52	Completed					130.029	44.1808		194.904							N.A.	8986 JP		REITS			Home Builders									
M&A	05/21/2010	ネットマークス	日本ユニシス		11.52	Completed					381.515	9.00646	26.5305	2941.4	9.93185	1.28753	23.3758	304.211			N.A.	8056 JP	7913	Software	3713 JP	713	Computers						201.843	178.86		
M&A	06/24/2021	"ＳＡＭＵＲＡＩ証券,SAMURAI ASSET FINANCE"	合同会社 Y FUND	Ｎｅｘｕｓ　Ｂａｎｋ	11.52	Completed	34.2936	21.5447	54.7444	136.5									4764 JP	533	Diversified Finan Serv	1898270D JP		Investment Companies			Diversified Finan Serv									
M&A	02/14/2003	Restaurant Monte Rosa Co Ltd	シダックス	東急百貨店	11.52	Completed					19.8464	1.13419	12.0803	1063.32					8232 JP	3332	Retail	4837 JP	30544	Food Service	RSTMRZ JP		Retail									
M&A	09/18/2001	RealEstate Trust Beneficiary RIght	丸紅	東洋精糖	11.52	Completed	7.83336	5.82242	20.0337	122.6	2752.75	2.12668	10.332	64610					2107 JP	75	Food	8002 JP	45470	Distribution/Wholesale			Real Estate						170.62	181.567		
M&A	12/15/2014	Asahitech Co Ltd	ラサ商事		11.51	Completed					24.0542	8.20726	21.6635	264.474							N.A.	3023 JP	282	Distribution/Wholesale	5678549Z JP		Engineering&Construction									
M&A	01/31/2017	眼科手術補助剤事業	ﾃﾞ･ｳｴｽﾀﾝ･ｾﾗﾋﾟﾃｸｽ研究所	ヘリオス	11.5	Completed	-42.4636	-14928.1		0.30056	-1.98319	-63.1078	94.9319	3.81052					4593 JP	114	Pharmaceuticals	4576 JP	15	Biotechnology			Biotechnology				-31.487	-84.982				
M&A	12/15/2003	ウェブキャッシング ドットコム	ＬＤＨ	オーベン	11.5	Completed	-3.91548	-1180.41	-170.178	0.335245	-0.981915	-1.97952	53.1797	709.175					4797 JP	33	Internet	4753 JP	2953	Internet	WCCZ JP		Diversified Finan Serv									
