ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	発表ﾌﾟﾚﾐｱﾑ	売却側企業 営業利益(損失)	買収側企業 営業利益(損失)	ﾀｰｹﾞｯﾄ企業 営業利益(損失)	買収側企業 内部留保率	買収側企業 利付き負債(米国以外)	買収側企業 利子負担率	買収側企業 有利子負債	買収側企業 流動負債/総資本	買収側企業 現金比率	買収側企業 総負債/自己資本	買収側企業 財務ﾚﾊﾞﾚｯｼﾞ	ﾀｰｹﾞｯﾄ企業 内部留保率	ﾀｰｹﾞｯﾄ企業 利付き負債(米国以外)	ﾀｰｹﾞｯﾄ企業 利子負担率	ﾀｰｹﾞｯﾄ企業 有利子負債	ﾀｰｹﾞｯﾄ企業 流動負債/総資本	ﾀｰｹﾞｯﾄ企業 現金比率	ﾀｰｹﾞｯﾄ企業 総負債/自己資本	ﾀｰｹﾞｯﾄ企業 財務ﾚﾊﾞﾚｯｼﾞ
三井住友海上ﾌﾟﾗｲﾏﾘｰ生命保険	MS&ADｲﾝｼｭｱﾗﾝｽｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ	メットライフ	279.85		7840	3091.52	1510.3	39.754						681.147	8.54766	43.2567						2595.77	30.3897
ＣＦＳコーポレーション	ウエルシアホールディングス		279.4	-3.79		405.764	32.508	78.6707		98.8852		46.6045	0.255692	142.072	2.4168	71.2208		98.851		47.0192	0.107374	109.096	2.1534
ニッポン放送ホールディングス	ﾌｼﾞ･ﾒﾃﾞｨｱ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ		279.34	2.9		153.515	56.7566	18.6214		94.1878		10.4797	1.33854	71.2668	1.7163	91.6627		97.9533		11.262	0.589611	62.8028	1.5055
豆蔵ホールディングス	Ｋ２ＴＯＰホールディングス		279.22	24.75			21.7564									80.2422		99.5858		39.3856	1.03448	68.0439	1.65522
ヒルトン東京ベイ	ジャパン・ホテル・リート投資法人	MGSダイアモンド	278.61			0.167902				31.5077			0.670128	80.9648	1.78278								
イズミヤ	関西スーパーマーケット	ｴｲﾁ･ﾂｰ･ｵｰ ﾘﾃｲﾘﾝｸﾞ	278.18		-41.8642	25.7675	35.789	72.8665		99.1878		27.9198	0.450281	58.1693	1.61321	2.11132		60.211		24.0158	0.144299	140.455	2.39896
楽天証券	楽天グループ		277.85			-862.066				441.359		70.7364	0.707937	1954.11	16.1336								
ミレニアムリテイリング	野村ホールディングス		277.65			2175.95		30.0426			348258			1475.36	16.1761								
日興シティ信託銀行	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ	シティグループ	277.59		13632	9938.88	-0.649467	58.5806	2806030					2033.96	21.2251		9.87418		2.34524			8.5952	1.09211
福岡パルコ	パルコ	学校法人都築学園	277.49		-2.64907	49.1297		27.7745		72.0559		19.5367	0.16153	116.983	2.1215								
FTP	ペプチドリーム	富士フイルムホールディングス	277.25		1560.93	65.5092		100		100		17.9163	1.51919	23.8004	1.19761								
Tixtower Ueno	ｼﾞｬﾊﾟﾝﾘｱﾙｴｽﾃｲﾄ投資法人	"伊藤忠商事,東京建物,東京開発Ｋ特定目的会社"	277.15			311.085				94.2276			0.350185	94.4125	1.92718								
マイトリップ・ネット	楽天グループ	日立造船	276.59		145.232	-862.066				441.359		70.7364	0.707937	1954.11	16.1336								
セシール	ＬＤＨ		276.36				0.321001			100.404								110.922		58.6126	0.243304	222.833	3.20474
特種製紙	東海パルプ		275.84	12.33		14.8856	6.97228			-33.5648		57.8154	0.0199697	320.587	4.03549	38.6667		98.6667		9.27251	0.632047	16.1557	1.1923
八千代工業	本田技研工業		275.76	-0.15		6227.82	53.099	71.0997		98.8606		26.0729	0.482555	138.161	2.4793	71.1712		97.5078		34.8151	0.493787	116.655	2.4355
ＮＥＣフィールディング	日本電気		275.75	31.01		1450.43	57.825	83.5862		95.3082		32.6428	0.445017	161.047	3.061	65.0865		99.6807		33.3977	0.855535	80.1141	1.78279
Department Store	髙島屋	日本生命保険	275.74		4669.57	-127.43				167.508		34.9955	0.264969	186.498	2.79729								
すんぷ夢ひろば事業	明豊エンタープライズ	エコロジー・リート投資法人	275.21			9.20562		77.2212		88.4976		19.3578	1.51514	128.61	2.4443								
富士コカ・コーラボトリング	コカ･コーラ ボトラーズジャパン		274.98			133.046	26.6208	8.41158		99.4415		20.2313	0.369021	51.0926	1.59525	47.4348				20.1445	0.818377	50.213	1.52137
"JMFビル市ヶ谷01,Gビル心斎橋05"	日本都市ファンド投資法人		274.76			257.773		5.71739		89.518			0.885719	98.1366	2.02307								
九州銀行	株式会社十八親和銀行		274.65	0.64		0.716917	8.98423		54671.3					2122.62	22.5411	100	7934.12					3255.06	35.5784
パナソニックエコシステムズ	パナソニック		274.57	15.46		2635.17		71.7308				40.9566	0.56813	157.229	2.84506			47.4286					
Japan Telecom Services Co	ソフトバンク	BTｸﾞﾙｰﾌﾟ	274.05		3384.43	9157.39		17.3316		92.0679		43.2958	0.314583	626.629	8.76285								
日東エフシー	複数買収者		273.31	40.13			11.3212									43.971		99.8549		6.84684	5.29911	10.6054	1.10614
シャープファイナンス	芙蓉総合リース	シャープ	273.23		784.005	433.735		75.5801			22120.3			863.006	9.85025								
"虎ノ門ヒルズ 森タワー,オランダヒルズ森タワー"	森ヒルズリート投資法人	森ﾋﾞﾙ	272.5		480.334	114.843		0.00487747		92.8111			0.239352	100.678	2.00671								
ミドリ電化	エディオン		272.32			252.666		70.3842		98.9384		26.8761	0.41496	99.2406	1.96727								
オリックス･クレジット	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ	オリックス	271.4		2441.42	6707.19		49.2251	1896770					1950.3	20.5074								
タカニシ	トヨタ紡織		271.26			538.659		73.0441				33.8162	0.682424	142.155	2.59828								
日本農産工業	三菱商事		271.07	28.99		304.831				91.2191		28.8178	0.275802	215.485	3.38238			88.9567					
"優木産業,ピカソ,ヴィーナスコーポレーション,キュービック,サンタ,平野物産,Aria,有限会社栄角"	日本エスコン		270.98			114.334		65.4835		78.6395		26.6445	0.599051	287.111	3.91093								
ピーチ・アビエーション	ＡＮＡホールディングス	"INCJ,First Eastern Aviation Holdings Ltd"	270.78			-4384.27				104.859		15.6927	1.91837	217.98	2.78883								
"MFLP厚木Ⅱ,MFLP稲沢"	三井不動産ﾛｼﾞﾊﾟｰｸ投資法人	三井不動産	270.49		1922.19	62.7464				96.2798			0.070464	51.9085	1.48995								
携帯電話等販売事業	ティーガイア	富士通	270.27		2512.27	132.535		67.9497		99.554		63.4976	0.320602	265.321	3.48694								
"プロロジスパーク成田3,プロロジスパーク古河1,プロロジスパーク神戸 2"	日本プロロジスリート投資法人	"神戸特定目的会社,成田3特定目的会社,月山 特定目的会社"	269.97			203.919				95.1672			0.84237	71.3934	1.71167								
利根コカコーラボトリング	コカ･コーラ ボトラーズジャパン		269.57			133.046		8.41158		99.4415		20.2313	0.369021	51.0926	1.59525								
ホテルビスタグランデ大阪	ジャパン・ホテル・リート投資法人	Apollo GK	268.2			0.167902				31.5077			0.670128	80.9648	1.78278								
Nissin-Ajinomoto Alimentos Ltda	日清食品ホールディングス	味の素	268.09		941.482	472.571		69.3838		98.0099		24.2114	0.604942	63.0429	1.74176								
図書印刷	凸版印刷		268.04	47.74		554.563	-0.43297	83.1116		97.2993		18.468	1.24416	68.7712	1.79822			99.5807		16.1465	1.16662	44.3883	1.44855
4 Buildings in Japan	ケネディクス商業リート投資法人	ケネディクス	267.93		130.45	74.219				88.4662			0.347916	102.444	2.02708								
